filename	seed
10000_targets_nopleio_0.3333lab_set1	6495727875747
10000_targets_nopleio_0.3333lab_set2	6495737875753
10000_targets_nopleio_0.3333lab_set3	6495787875754
10000_targets_nopleio_0.3333lab_set4	6495817875754
10000_targets_nopleio_0.3333lab_set5	6495837875755
10000_targets_nopleio_0.3333lab_set6	6495857875758
10000_targets_nopleio_0.3333lab_set7	6495897875762
10000_targets_nopleio_0.3333lab_set8	6495947875765
10000_targets_nopleio_0.3333lab_set9	6495977875767
10000_targets_nopleio_0.3333lab_set10	6496047875773
10000_targets_nopleio_0.3333lab_set11	6496137875778
10000_targets_nopleio_0.3333lab_set12	6496227875781
10000_targets_nopleio_0.3333lab_set13	6496247875784
10000_targets_nopleio_0.3333lab_set14	6496257875787
10000_targets_nopleio_0.3333lab_set15	6496307875791
10000_targets_nopleio_0.3333lab_set16	6496337875793
10000_targets_nopleio_0.3333lab_set17	6496457875799
10000_targets_nopleio_0.3333lab_set18	6496517875802
10000_targets_nopleio_0.3333lab_set19	6496617875803
10000_targets_nopleio_0.3333lab_set20	6496677875822
10000_targets_nopleio_0.3333lab_set21	6496707875824
10000_targets_nopleio_0.3333lab_set22	6496727875843
10000_targets_nopleio_0.3333lab_set23	6496767875850
10000_targets_nopleio_0.3333lab_set24	6496787875869
10000_targets_nopleio_0.3333lab_set25	6496897875884
10000_targets_nopleio_0.3333lab_set26	6496917875896
10000_targets_nopleio_0.3333lab_set27	6496997875913
10000_targets_nopleio_0.3333lab_set29	6497127875929
10000_targets_nopleio_0.3333lab_set28	6497047875929
10000_targets_nopleio_0.3333lab_set30	6497167875938
10000_targets_nopleio_0.3333lab_set31	6497177875944
10000_targets_nopleio_0.3333lab_set32	6497207875949
10000_targets_nopleio_0.3333lab_set33	6497217875954
10000_targets_nopleio_0.3333lab_set34	6497237875958
10000_targets_nopleio_0.3333lab_set35	6497277875966
10000_targets_nopleio_0.3333lab_set36	6497287875975
10000_targets_nopleio_0.3333lab_set37	6497307875978
10000_targets_nopleio_0.3333lab_set38	6497357875984
10000_targets_nopleio_0.3333lab_set39	6497397875985
10000_targets_nopleio_0.3333lab_set40	6497407875988
10000_targets_nopleio_0.3333lab_set41	6570757894488
10000_targets_nopleio_0.3333lab_set42	6570767895038
10000_targets_nopleio_0.3333lab_set43	6570777895268
10000_targets_nopleio_0.3333lab_set44	6570787895273
10000_targets_nopleio_0.3333lab_set45	6570797895368
10000_targets_nopleio_0.3333lab_set46	6570807895525
10000_targets_nopleio_0.3333lab_set47	6570817895663
10000_targets_nopleio_0.3333lab_set48	6570827895806
10000_targets_nopleio_0.3333lab_set49	6570837895972
10000_targets_nopleio_0.3333lab_set50	6570847896251
10000_targets_nopleio_0.3333lab_set51	6570857896397
10000_targets_nopleio_0.3333lab_set52	6570867896512
10000_targets_nopleio_0.3333lab_set53	6570877896523
10000_targets_nopleio_0.3333lab_set54	6570887896556
10000_targets_nopleio_0.3333lab_set55	6570897896566
10000_targets_nopleio_0.3333lab_set56	6570907896711
10000_targets_nopleio_0.3333lab_set57	6570917896857
10000_targets_nopleio_0.3333lab_set58	6570927896918
10000_targets_nopleio_0.3333lab_set59	6570937896934
10000_targets_nopleio_0.3333lab_set60	6570947897380
10000_targets_nopleio_0.3333lab_set61	6570967897398
10000_targets_nopleio_0.3333lab_set62	6570977897496
10000_targets_nopleio_0.3333lab_set63	6570987897499
10000_targets_nopleio_0.3333lab_set64	6570997897730
10000_targets_nopleio_0.3333lab_set65	6571007897953
10000_targets_nopleio_0.3333lab_set66	6571017898123
10000_targets_nopleio_0.3333lab_set67	6571027898133
10000_targets_nopleio_0.3333lab_set68	6571037898391
10000_targets_nopleio_0.3333lab_set69	6571047898409
10000_targets_nopleio_0.3333lab_set70	6571057898544
10000_targets_nopleio_0.3333lab_set71	6571067898858
10000_targets_nopleio_0.3333lab_set72	6571077898942
10000_targets_nopleio_0.3333lab_set73	6571087898972
10000_targets_nopleio_0.3333lab_set74	6571097899053
10000_targets_nopleio_0.3333lab_set75	6571107899144
10000_targets_nopleio_0.3333lab_set76	6571117899237
10000_targets_nopleio_0.3333lab_set77	6571127899290
10000_targets_nopleio_0.3333lab_set78	6571137899320
10000_targets_nopleio_0.3333lab_set79	6571147899718
10000_targets_nopleio_0.3333lab_set80	6571157899945
10000_targets_nopleio_0.3333lab_set81	6571177908368
10000_targets_nopleio_0.3333lab_set82	6571187910772
10000_targets_nopleio_0.3333lab_set83	6571197911189
10000_targets_nopleio_0.3333lab_set84	6571207911235
10000_targets_nopleio_0.3333lab_set85	6571217911268
10000_targets_nopleio_0.3333lab_set86	6571227911801
10000_targets_nopleio_0.3333lab_set87	6571237912167
10000_targets_nopleio_0.3333lab_set88	6571247912668
10000_targets_nopleio_0.3333lab_set89	6571257912892
10000_targets_nopleio_0.3333lab_set90	6571267913059
10000_targets_nopleio_0.3333lab_set91	6571277913095
10000_targets_nopleio_0.3333lab_set92	6571287913484
10000_targets_nopleio_0.3333lab_set93	6571297913516
10000_targets_nopleio_0.3333lab_set94	6571307913874
10000_targets_nopleio_0.3333lab_set95	6571317914241
10000_targets_nopleio_0.3333lab_set96	6571327914897
10000_targets_nopleio_0.3333lab_set97	6571337914920
10000_targets_nopleio_0.3333lab_set98	6571347914949
10000_targets_nopleio_0.3333lab_set99	6571357915220
10000_targets_nopleio_0.3333lab_set100	6571367915352
