filename	seed
10000_targets_pleio_set1	8313938323151
10000_targets_pleio_set2	8314008323152
10000_targets_pleio_set3	8314028323159
10000_targets_pleio_set4	8314068323162
10000_targets_pleio_set5	8314148323165
10000_targets_pleio_set6	8314168323171
10000_targets_pleio_set7	8314188323176
10000_targets_pleio_set8	8314248323177
10000_targets_pleio_set9	8314258323181
10000_targets_pleio_set10	8314278323183
10000_targets_pleio_set11	8314338323187
10000_targets_pleio_set12	8314388323192
10000_targets_pleio_set13	8314408323196
10000_targets_pleio_set14	8314418323198
10000_targets_pleio_set15	8314428323204
10000_targets_pleio_set17	8314628323214
10000_targets_pleio_set16	8314518323214
10000_targets_pleio_set18	8314728323224
10000_targets_pleio_set19	8314758323230
10000_targets_pleio_set20	8314768323244
10000_targets_pleio_set21	8413938337225
10000_targets_pleio_set22	8414128337249
10000_targets_pleio_set23	8414728337319
10000_targets_pleio_set24	8415348337380
10000_targets_pleio_set25	8415758337444
10000_targets_pleio_set26	8416288337545
10000_targets_pleio_set27	8417698337698
10000_targets_pleio_set28	8419038337885
10000_targets_pleio_set29	8422288338252
10000_targets_pleio_set30	8429278339052
10000_targets_pleio_set31	8430838339227
10000_targets_pleio_set32	8436118339807
10000_targets_pleio_set33	8436968339898
10000_targets_pleio_set34	8438788340104
10000_targets_pleio_set35	8438978340126
10000_targets_pleio_set36	8440608340307
10000_targets_pleio_set37	8441588340411
10000_targets_pleio_set38	8441618340427
10000_targets_pleio_set39	8443798340677
10000_targets_pleio_set40	8444288340724
10000_targets_pleio_set41	8517408352160
10000_targets_pleio_set42	8519658352521
10000_targets_pleio_set43	8522168352801
10000_targets_pleio_set44	8523078352910
10000_targets_pleio_set45	8524118353060
10000_targets_pleio_set46	8526768353369
10000_targets_pleio_set47	8528298353544
10000_targets_pleio_set48	8528578353601
10000_targets_pleio_set49	8529958353747
10000_targets_pleio_set50	8538678354810
10000_targets_pleio_set51	8538878354834
10000_targets_pleio_set52	8539938354983
10000_targets_pleio_set53	8541888355234
10000_targets_pleio_set54	8544158355477
10000_targets_pleio_set55	8545128355583
10000_targets_pleio_set56	8546428355717
10000_targets_pleio_set57	8547468355868
10000_targets_pleio_set58	8552518356467
10000_targets_pleio_set59	8552978356514
10000_targets_pleio_set60	8553638356577
10000_targets_pleio_set61	8587678366241
10000_targets_pleio_set62	8587688366357
10000_targets_pleio_set63	8587698366596
10000_targets_pleio_set64	8587708366695
10000_targets_pleio_set65	8587718367158
10000_targets_pleio_set66	8587728367190
10000_targets_pleio_set67	8587818367462
10000_targets_pleio_set68	8587828367551
10000_targets_pleio_set69	8587838367599
10000_targets_pleio_set70	8587848367898
10000_targets_pleio_set71	8587858367948
10000_targets_pleio_set72	8587898368362
10000_targets_pleio_set73	8587908368797
10000_targets_pleio_set74	8587918368806
10000_targets_pleio_set75	8587928368935
10000_targets_pleio_set76	8587938369075
10000_targets_pleio_set77	8587948369115
10000_targets_pleio_set78	8587958369397
10000_targets_pleio_set79	8587968369717
10000_targets_pleio_set80	8587978370932
10000_targets_pleio_set81	8588098377547
10000_targets_pleio_set82	8588108378023
10000_targets_pleio_set83	8588118378388
10000_targets_pleio_set84	8588208378838
10000_targets_pleio_set85	8588218378978
10000_targets_pleio_set86	8588228379297
10000_targets_pleio_set87	8588238379319
10000_targets_pleio_set88	8588248379452
10000_targets_pleio_set89	8588288379801
10000_targets_pleio_set90	8588298379815
10000_targets_pleio_set91	8588308379834
10000_targets_pleio_set92	8588318380042
10000_targets_pleio_set93	8588328380633
10000_targets_pleio_set94	8588338380687
10000_targets_pleio_set95	8588348380745
10000_targets_pleio_set96	8588358380895
10000_targets_pleio_set97	8588368381470
10000_targets_pleio_set98	8588378381525
10000_targets_pleio_set99	8588388381939
10000_targets_pleio_set100	8588408383000
