num_snp	ispleiotropy	set	envir	pop	seed
10000	pleio	18	fluc	p2	4882
10000	pleio	18	fluc	p3	4883
10000	pleio	18	fluc	p4	4884
10000	pleio	18	fluc	p5	4885
10000	pleio	18	cons	p6	4886
10000	pleio	18	cons	p7	4887
10000	pleio	18	cons	p8	4888
10000	pleio	18	cons	p9	4889
10000	pleio	18	cons	p10	4890
10000	pleio	19	fluc	p1	4891
10000	pleio	19	fluc	p2	4892
10000	pleio	19	fluc	p3	4893
10000	pleio	19	fluc	p4	4894
10000	pleio	19	fluc	p5	4895
10000	pleio	19	cons	p6	4896
10000	pleio	19	cons	p7	4897
10000	pleio	19	cons	p8	4898
10000	pleio	19	cons	p9	4899
10000	pleio	19	cons	p10	4900
10000	pleio	20	fluc	p1	4901
10000	pleio	20	fluc	p2	4902
10000	pleio	20	fluc	p3	4903
10000	pleio	20	fluc	p4	4904
10000	pleio	20	fluc	p5	4905
10000	pleio	20	cons	p6	4906
10000	pleio	20	cons	p7	4907
10000	pleio	20	cons	p8	4908
10000	pleio	20	cons	p9	4909
10000	pleio	20	cons	p10	4910
10000	pleio	21	fluc	p1	4911
10000	pleio	21	fluc	p2	4912
10000	pleio	21	fluc	p3	4913
10000	pleio	21	fluc	p4	4914
10000	pleio	21	fluc	p5	4915
10000	pleio	21	cons	p6	4916
10000	pleio	21	cons	p7	4917
10000	pleio	21	cons	p8	4918
10000	pleio	21	cons	p9	4919
10000	pleio	21	cons	p10	4920
10000	pleio	22	fluc	p1	4921
10000	pleio	22	fluc	p2	4922
10000	pleio	22	fluc	p3	4923
10000	pleio	22	fluc	p4	4924
10000	pleio	22	fluc	p5	4925
10000	pleio	22	cons	p6	4926
10000	pleio	22	cons	p7	4927
10000	pleio	22	cons	p8	4928
10000	pleio	22	cons	p9	4929
10000	pleio	22	cons	p10	4930
10000	pleio	23	fluc	p1	4931
10000	pleio	23	fluc	p2	4932
10000	pleio	23	fluc	p3	4933
10000	pleio	23	fluc	p4	4934
10000	pleio	23	fluc	p5	4935
10000	pleio	23	cons	p6	4936
10000	pleio	23	cons	p7	4937
10000	pleio	23	cons	p8	4938
10000	pleio	23	cons	p9	4939
10000	pleio	23	cons	p10	4940
10000	pleio	24	fluc	p1	4941
10000	pleio	24	fluc	p2	4942
10000	pleio	24	fluc	p3	4943
10000	pleio	24	fluc	p4	4944
10000	pleio	24	fluc	p5	4945
10000	pleio	24	cons	p6	4946
10000	pleio	24	cons	p7	4947
10000	pleio	24	cons	p8	4948
10000	pleio	24	cons	p9	4949
10000	pleio	24	cons	p10	4950
10000	pleio	25	fluc	p1	4951
10000	pleio	25	fluc	p2	4952
10000	pleio	25	fluc	p3	4953
10000	pleio	25	fluc	p4	4954
10000	pleio	25	fluc	p5	4955
10000	pleio	25	cons	p6	4956
10000	pleio	25	cons	p7	4957
10000	pleio	25	cons	p8	4958
10000	pleio	25	cons	p9	4959
10000	pleio	25	cons	p10	4960
10000	pleio	26	fluc	p1	4961
10000	pleio	26	fluc	p2	4962
10000	pleio	26	fluc	p3	4963
10000	pleio	26	fluc	p4	4964
10000	pleio	26	fluc	p5	4965
10000	pleio	26	cons	p6	4966
10000	pleio	26	cons	p7	4967
10000	pleio	26	cons	p8	4968
10000	pleio	26	cons	p9	4969
10000	pleio	26	cons	p10	4970
10000	pleio	27	fluc	p1	4971
10000	pleio	27	fluc	p2	4972
10000	pleio	27	fluc	p3	4973
10000	pleio	27	fluc	p4	4974
10000	pleio	27	fluc	p5	4975
10000	pleio	27	cons	p6	4976
10000	pleio	27	cons	p7	4977
10000	pleio	27	cons	p8	4978
10000	pleio	27	cons	p9	4979
10000	pleio	27	cons	p10	4980
10000	pleio	28	fluc	p1	4981
10000	pleio	28	fluc	p2	4982
10000	pleio	28	fluc	p3	4983
10000	pleio	28	fluc	p4	4984
10000	pleio	28	fluc	p5	4985
10000	pleio	28	cons	p6	4986
10000	pleio	28	cons	p7	4987
10000	pleio	28	cons	p8	4988
10000	pleio	28	cons	p9	4989
10000	pleio	28	cons	p10	4990
10000	pleio	29	fluc	p1	4991
10000	pleio	29	fluc	p2	4992
10000	pleio	29	fluc	p3	4993
10000	pleio	29	fluc	p4	4994
10000	pleio	29	fluc	p5	4995
10000	pleio	29	cons	p6	4996
10000	pleio	29	cons	p7	4997
10000	pleio	29	cons	p8	4998
10000	pleio	29	cons	p9	4999
10000	pleio	29	cons	p10	5000
10000	pleio	30	fluc	p1	5001
10000	pleio	30	fluc	p2	5002
10000	pleio	30	fluc	p3	5003
10000	pleio	30	fluc	p4	5004
10000	pleio	30	fluc	p5	5005
10000	pleio	30	cons	p6	5006
10000	pleio	30	cons	p7	5007
10000	pleio	30	cons	p8	5008
10000	pleio	30	cons	p9	5009
10000	pleio	30	cons	p10	5010
10000	pleio	31	fluc	p1	5011
10000	pleio	31	fluc	p2	5012
10000	pleio	31	fluc	p3	5013
10000	pleio	31	fluc	p4	5014
10000	pleio	31	fluc	p5	5015
10000	pleio	31	cons	p6	5016
10000	pleio	31	cons	p7	5017
10000	pleio	31	cons	p8	5018
10000	pleio	31	cons	p9	5019
10000	pleio	31	cons	p10	5020
10000	pleio	32	fluc	p1	5021
10000	pleio	32	fluc	p2	5022
10000	pleio	32	fluc	p3	5023
10000	pleio	32	fluc	p4	5024
10000	pleio	32	fluc	p5	5025
10000	pleio	32	cons	p6	5026
10000	pleio	32	cons	p7	5027
10000	pleio	32	cons	p8	5028
10000	pleio	32	cons	p9	5029
10000	pleio	32	cons	p10	5030
10000	pleio	33	fluc	p1	5031
10000	pleio	33	fluc	p2	5032
10000	pleio	33	fluc	p3	5033
10000	pleio	33	fluc	p4	5034
10000	pleio	33	fluc	p5	5035
10000	pleio	33	cons	p6	5036
10000	pleio	33	cons	p7	5037
10000	pleio	33	cons	p8	5038
10000	pleio	33	cons	p9	5039
10000	pleio	33	cons	p10	5040
10000	pleio	34	fluc	p1	5041
10000	pleio	34	fluc	p2	5042
10000	pleio	34	fluc	p3	5043
10000	pleio	34	fluc	p4	5044
10000	pleio	34	fluc	p5	5045
10000	pleio	34	cons	p6	5046
10000	pleio	34	cons	p7	5047
10000	pleio	34	cons	p8	5048
10000	pleio	34	cons	p9	5049
10000	pleio	34	cons	p10	5050
10000	pleio	35	fluc	p1	5051
10000	pleio	35	fluc	p2	5052
10000	pleio	35	fluc	p3	5053
10000	pleio	35	fluc	p4	5054
10000	pleio	35	fluc	p5	5055
10000	pleio	35	cons	p6	5056
10000	pleio	35	cons	p7	5057
10000	pleio	35	cons	p8	5058
10000	pleio	35	cons	p9	5059
10000	pleio	35	cons	p10	5060
10000	pleio	36	fluc	p1	5061
10000	pleio	36	fluc	p2	5062
10000	pleio	36	fluc	p3	5063
10000	pleio	36	fluc	p4	5064
10000	pleio	36	fluc	p5	5065
10000	pleio	36	cons	p6	5066
10000	pleio	36	cons	p7	5067
10000	pleio	36	cons	p8	5068
10000	pleio	36	cons	p9	5069
10000	pleio	36	cons	p10	5070
10000	pleio	37	fluc	p1	5071
10000	pleio	37	fluc	p2	5072
10000	pleio	37	fluc	p3	5073
10000	pleio	37	fluc	p4	5074
10000	pleio	37	fluc	p5	5075
10000	pleio	37	cons	p6	5076
10000	pleio	37	cons	p7	5077
10000	pleio	37	cons	p8	5078
10000	pleio	37	cons	p9	5079
10000	pleio	37	cons	p10	5080
10000	pleio	38	fluc	p1	5081
10000	pleio	38	fluc	p2	5082
10000	pleio	38	fluc	p3	5083
10000	pleio	38	fluc	p4	5084
10000	pleio	38	fluc	p5	5085
10000	pleio	38	cons	p6	5086
10000	pleio	38	cons	p7	5087
10000	pleio	38	cons	p8	5088
10000	pleio	38	cons	p9	5089
10000	pleio	38	cons	p10	5090
10000	pleio	39	fluc	p1	5091
10000	pleio	39	fluc	p2	5092
10000	pleio	39	fluc	p3	5093
10000	pleio	39	fluc	p4	5094
10000	pleio	39	fluc	p5	5095
10000	pleio	39	cons	p6	5096
10000	pleio	39	cons	p7	5097
10000	pleio	39	cons	p8	5098
10000	pleio	39	cons	p9	5099
10000	pleio	39	cons	p10	5100
10000	pleio	40	fluc	p1	5101
10000	pleio	40	fluc	p2	5102
10000	pleio	40	fluc	p3	5103
10000	pleio	40	fluc	p4	5104
10000	pleio	40	fluc	p5	5105
10000	pleio	40	cons	p6	5106
10000	pleio	40	cons	p7	5107
10000	pleio	40	cons	p8	5108
10000	pleio	40	cons	p9	5109
10000	pleio	40	cons	p10	5110
10000	pleio	41	fluc	p1	5111
10000	pleio	41	fluc	p2	5112
10000	pleio	41	fluc	p3	5113
10000	pleio	41	fluc	p4	5114
10000	pleio	41	fluc	p5	5115
10000	pleio	41	cons	p6	5116
10000	pleio	41	cons	p7	5117
10000	pleio	41	cons	p8	5118
10000	pleio	41	cons	p9	5119
10000	pleio	41	cons	p10	5120
10000	pleio	42	fluc	p1	5121
10000	pleio	42	fluc	p2	5122
10000	pleio	42	fluc	p3	5123
10000	pleio	42	fluc	p4	5124
10000	pleio	42	fluc	p5	5125
10000	pleio	42	cons	p6	5126
10000	pleio	42	cons	p7	5127
10000	pleio	42	cons	p8	5128
10000	pleio	42	cons	p9	5129
10000	pleio	42	cons	p10	5130
10000	pleio	43	fluc	p1	5131
10000	pleio	43	fluc	p2	5132
10000	pleio	43	fluc	p3	5133
10000	pleio	43	fluc	p4	5134
10000	pleio	43	fluc	p5	5135
10000	pleio	43	cons	p6	5136
10000	pleio	43	cons	p7	5137
10000	pleio	43	cons	p8	5138
10000	pleio	43	cons	p9	5139
10000	pleio	43	cons	p10	5140
10000	pleio	44	fluc	p1	5141
10000	pleio	44	fluc	p2	5142
10000	pleio	44	fluc	p3	5143
10000	pleio	44	fluc	p4	5144
10000	pleio	44	fluc	p5	5145
10000	pleio	44	cons	p6	5146
10000	pleio	44	cons	p7	5147
10000	pleio	44	cons	p8	5148
10000	pleio	44	cons	p9	5149
10000	pleio	44	cons	p10	5150
10000	pleio	45	fluc	p1	5151
10000	pleio	45	fluc	p2	5152
10000	pleio	45	fluc	p3	5153
10000	pleio	45	fluc	p4	5154
10000	pleio	45	fluc	p5	5155
10000	pleio	45	cons	p6	5156
10000	pleio	45	cons	p7	5157
10000	pleio	45	cons	p8	5158
10000	pleio	45	cons	p9	5159
10000	pleio	45	cons	p10	5160
10000	pleio	46	fluc	p1	5161
10000	pleio	46	fluc	p2	5162
10000	pleio	46	fluc	p3	5163
10000	pleio	46	fluc	p4	5164
10000	pleio	46	fluc	p5	5165
10000	pleio	46	cons	p6	5166
10000	pleio	46	cons	p7	5167
10000	pleio	46	cons	p8	5168
10000	pleio	46	cons	p9	5169
10000	pleio	46	cons	p10	5170
10000	pleio	47	fluc	p1	5171
10000	pleio	47	fluc	p2	5172
10000	pleio	47	fluc	p3	5173
10000	pleio	47	fluc	p4	5174
10000	pleio	47	fluc	p5	5175
10000	pleio	47	cons	p6	5176
10000	pleio	47	cons	p7	5177
10000	pleio	47	cons	p8	5178
10000	pleio	47	cons	p9	5179
10000	pleio	47	cons	p10	5180
10000	pleio	48	fluc	p1	5181
10000	pleio	48	fluc	p2	5182
10000	pleio	48	fluc	p3	5183
10000	pleio	48	fluc	p4	5184
10000	pleio	48	fluc	p5	5185
10000	pleio	48	cons	p6	5186
10000	pleio	48	cons	p7	5187
10000	pleio	48	cons	p8	5188
10000	pleio	48	cons	p9	5189
10000	pleio	48	cons	p10	5190
10000	pleio	49	fluc	p1	5191
10000	pleio	49	fluc	p2	5192
10000	pleio	49	fluc	p3	5193
10000	pleio	49	fluc	p4	5194
10000	pleio	49	fluc	p5	5195
10000	pleio	49	cons	p6	5196
10000	pleio	49	cons	p7	5197
10000	pleio	49	cons	p8	5198
10000	pleio	49	cons	p9	5199
10000	pleio	49	cons	p10	5200
10000	pleio	50	fluc	p1	5201
10000	pleio	50	fluc	p2	5202
10000	pleio	50	fluc	p3	5203
10000	pleio	50	fluc	p4	5204
10000	pleio	50	fluc	p5	5205
10000	pleio	50	cons	p6	5206
10000	pleio	50	cons	p7	5207
10000	pleio	50	cons	p8	5208
10000	pleio	50	cons	p9	5209
10000	pleio	50	cons	p10	5210
10000	pleio	51	fluc	p1	5211
10000	pleio	51	fluc	p2	5212
10000	pleio	51	fluc	p3	5213
10000	pleio	51	fluc	p4	5214
10000	pleio	51	fluc	p5	5215
10000	pleio	51	cons	p6	5216
10000	pleio	51	cons	p7	5217
10000	pleio	51	cons	p8	5218
10000	pleio	51	cons	p9	5219
10000	pleio	51	cons	p10	5220
10000	pleio	52	fluc	p1	5221
10000	pleio	52	fluc	p2	5222
10000	pleio	52	fluc	p3	5223
10000	pleio	52	fluc	p4	5224
10000	pleio	52	fluc	p5	5225
10000	pleio	52	cons	p6	5226
10000	pleio	52	cons	p7	5227
10000	pleio	52	cons	p8	5228
10000	pleio	52	cons	p9	5229
10000	pleio	52	cons	p10	5230
10000	pleio	53	fluc	p1	5231
10000	pleio	53	fluc	p2	5232
10000	pleio	53	fluc	p3	5233
10000	pleio	53	fluc	p4	5234
10000	pleio	53	fluc	p5	5235
10000	pleio	53	cons	p6	5236
10000	pleio	53	cons	p7	5237
10000	pleio	53	cons	p8	5238
10000	pleio	53	cons	p9	5239
10000	pleio	53	cons	p10	5240
10000	pleio	54	fluc	p1	5241
10000	pleio	54	fluc	p2	5242
10000	pleio	54	fluc	p3	5243
10000	pleio	54	fluc	p4	5244
10000	pleio	54	fluc	p5	5245
10000	pleio	54	cons	p6	5246
10000	pleio	54	cons	p7	5247
10000	pleio	54	cons	p8	5248
10000	pleio	54	cons	p9	5249
10000	pleio	54	cons	p10	5250
10000	pleio	55	fluc	p1	5251
10000	pleio	55	fluc	p2	5252
10000	pleio	55	fluc	p3	5253
10000	pleio	55	fluc	p4	5254
10000	pleio	55	fluc	p5	5255
10000	pleio	55	cons	p6	5256
10000	pleio	55	cons	p7	5257
10000	pleio	55	cons	p8	5258
10000	pleio	55	cons	p9	5259
10000	pleio	55	cons	p10	5260
10000	pleio	56	fluc	p1	5261
10000	pleio	56	fluc	p2	5262
10000	pleio	56	fluc	p3	5263
10000	pleio	56	fluc	p4	5264
10000	pleio	56	fluc	p5	5265
10000	pleio	56	cons	p6	5266
10000	pleio	56	cons	p7	5267
10000	pleio	56	cons	p8	5268
10000	pleio	56	cons	p9	5269
10000	pleio	56	cons	p10	5270
10000	pleio	57	fluc	p1	5271
10000	pleio	57	fluc	p2	5272
10000	pleio	57	fluc	p3	5273
10000	pleio	57	fluc	p4	5274
10000	pleio	57	fluc	p5	5275
10000	pleio	57	cons	p6	5276
10000	pleio	57	cons	p7	5277
10000	pleio	57	cons	p8	5278
10000	pleio	57	cons	p9	5279
10000	pleio	57	cons	p10	5280
10000	pleio	58	fluc	p1	5281
10000	pleio	58	fluc	p2	5282
10000	pleio	58	fluc	p3	5283
10000	pleio	58	fluc	p4	5284
10000	pleio	58	fluc	p5	5285
10000	pleio	58	cons	p6	5286
10000	pleio	58	cons	p7	5287
10000	pleio	58	cons	p8	5288
10000	pleio	58	cons	p9	5289
10000	pleio	58	cons	p10	5290
10000	pleio	59	fluc	p1	5291
10000	pleio	59	fluc	p2	5292
10000	pleio	59	fluc	p3	5293
10000	pleio	59	fluc	p4	5294
10000	pleio	59	fluc	p5	5295
10000	pleio	59	cons	p6	5296
10000	pleio	59	cons	p7	5297
10000	pleio	59	cons	p8	5298
10000	pleio	59	cons	p9	5299
10000	pleio	59	cons	p10	5300
10000	pleio	60	fluc	p1	5301
10000	pleio	60	fluc	p2	5302
10000	pleio	60	fluc	p3	5303
10000	pleio	60	fluc	p4	5304
10000	pleio	60	fluc	p5	5305
10000	pleio	60	cons	p6	5306
10000	pleio	60	cons	p7	5307
10000	pleio	60	cons	p8	5308
10000	pleio	60	cons	p9	5309
10000	pleio	60	cons	p10	5310
10000	pleio	61	fluc	p1	5311
10000	pleio	61	fluc	p2	5312
10000	pleio	61	fluc	p3	5313
10000	pleio	61	fluc	p4	5314
10000	pleio	61	fluc	p5	5315
10000	pleio	61	cons	p6	5316
10000	pleio	61	cons	p7	5317
10000	pleio	61	cons	p8	5318
10000	pleio	61	cons	p9	5319
10000	pleio	61	cons	p10	5320
10000	pleio	62	fluc	p1	5321
10000	pleio	62	fluc	p2	5322
10000	pleio	62	fluc	p3	5323
10000	pleio	62	fluc	p4	5324
10000	pleio	62	fluc	p5	5325
10000	pleio	62	cons	p6	5326
10000	pleio	62	cons	p7	5327
10000	pleio	62	cons	p8	5328
10000	pleio	62	cons	p9	5329
10000	pleio	62	cons	p10	5330
10000	pleio	63	fluc	p1	5331
10000	pleio	63	fluc	p2	5332
10000	pleio	63	fluc	p3	5333
10000	pleio	63	fluc	p4	5334
10000	pleio	63	fluc	p5	5335
10000	pleio	63	cons	p6	5336
10000	pleio	63	cons	p7	5337
10000	pleio	63	cons	p8	5338
10000	pleio	63	cons	p9	5339
10000	pleio	63	cons	p10	5340
10000	pleio	64	fluc	p1	5341
10000	pleio	64	fluc	p2	5342
10000	pleio	64	fluc	p3	5343
10000	pleio	64	fluc	p4	5344
10000	pleio	64	fluc	p5	5345
10000	pleio	64	cons	p6	5346
10000	pleio	64	cons	p7	5347
10000	pleio	64	cons	p8	5348
10000	pleio	64	cons	p9	5349
10000	pleio	64	cons	p10	5350
10000	pleio	65	fluc	p1	5351
10000	pleio	65	fluc	p2	5352
10000	pleio	65	fluc	p3	5353
10000	pleio	65	fluc	p4	5354
10000	pleio	65	fluc	p5	5355
10000	pleio	65	cons	p6	5356
10000	pleio	65	cons	p7	5357
10000	pleio	65	cons	p8	5358
10000	pleio	65	cons	p9	5359
10000	pleio	65	cons	p10	5360
10000	pleio	66	fluc	p1	5361
10000	pleio	66	fluc	p2	5362
10000	pleio	66	fluc	p3	5363
10000	pleio	66	fluc	p4	5364
10000	pleio	66	fluc	p5	5365
10000	pleio	66	cons	p6	5366
10000	pleio	66	cons	p7	5367
10000	pleio	66	cons	p8	5368
10000	pleio	66	cons	p9	5369
10000	pleio	66	cons	p10	5370
10000	pleio	67	fluc	p1	5371
10000	pleio	67	fluc	p2	5372
10000	pleio	67	fluc	p3	5373
10000	pleio	67	fluc	p4	5374
10000	pleio	67	fluc	p5	5375
10000	pleio	67	cons	p6	5376
10000	pleio	67	cons	p7	5377
10000	pleio	67	cons	p8	5378
10000	pleio	67	cons	p9	5379
10000	pleio	67	cons	p10	5380
10000	pleio	68	fluc	p1	5381
10000	pleio	68	fluc	p2	5382
10000	pleio	68	fluc	p3	5383
10000	pleio	68	fluc	p4	5384
10000	pleio	68	fluc	p5	5385
10000	pleio	68	cons	p6	5386
10000	pleio	68	cons	p7	5387
10000	pleio	68	cons	p8	5388
10000	pleio	68	cons	p9	5389
10000	pleio	68	cons	p10	5390
10000	pleio	69	fluc	p1	5391
10000	pleio	69	fluc	p2	5392
10000	pleio	69	fluc	p3	5393
10000	pleio	69	fluc	p4	5394
10000	pleio	69	fluc	p5	5395
10000	pleio	69	cons	p6	5396
10000	pleio	69	cons	p7	5397
10000	pleio	69	cons	p8	5398
10000	pleio	69	cons	p9	5399
10000	pleio	69	cons	p10	5400
10000	pleio	70	fluc	p1	5401
10000	pleio	70	fluc	p2	5402
10000	pleio	70	fluc	p3	5403
10000	pleio	70	fluc	p4	5404
10000	pleio	70	fluc	p5	5405
10000	pleio	70	cons	p6	5406
10000	pleio	70	cons	p7	5407
10000	pleio	70	cons	p8	5408
10000	pleio	70	cons	p9	5409
10000	pleio	70	cons	p10	5410
10000	pleio	71	fluc	p1	5411
10000	pleio	71	fluc	p2	5412
10000	pleio	71	fluc	p3	5413
10000	pleio	71	fluc	p4	5414
10000	pleio	71	fluc	p5	5415
10000	pleio	71	cons	p6	5416
10000	pleio	71	cons	p7	5417
10000	pleio	71	cons	p8	5418
10000	pleio	71	cons	p9	5419
