date	time	pop	run	rep	n_egg
day4-23-04-2022	8am	wave2	2	R5	199
day5-24-04-2022	8am	anc	1	R1	152
day5-24-04-2022	8am	anc	1	R2	86
day5-24-04-2022	8am	anc	1	R3	158
day5-24-04-2022	8am	anc	1	R4	265
day5-24-04-2022	8am	anc	1	R5	99
day5-24-04-2022	8am	anc	2	R1	116
day5-24-04-2022	8am	anc	2	R2	196
day5-24-04-2022	8am	anc	2	R3	214
day5-24-04-2022	8am	anc	2	R4	198
day5-24-04-2022	8am	anc	2	R5	108
day5-24-04-2022	8am	cold	1	R1	182
day5-24-04-2022	8am	cold	1	R2	189
day5-24-04-2022	8am	cold	1	R3	255
day5-24-04-2022	8am	cold	1	R4	252
day5-24-04-2022	8am	cold	1	R5	195
day5-24-04-2022	8am	cold	2	R1	95
day5-24-04-2022	8am	cold	2	R2	291
day5-24-04-2022	8am	cold	2	R3	410
day5-24-04-2022	8am	cold	2	R4	203
day5-24-04-2022	8am	cold	2	R5	213
day5-24-04-2022	8am	constant	1	R1	271
day5-24-04-2022	8am	constant	1	R2	181
day5-24-04-2022	8am	constant	1	R3	139
day5-24-04-2022	8am	constant	1	R4	217
day5-24-04-2022	8am	constant	1	R5	270
day5-24-04-2022	8am	constant	2	R1	241
day5-24-04-2022	8am	constant	2	R2	222
day5-24-04-2022	8am	constant	2	R3	180
day5-24-04-2022	8am	constant	2	R4	202
day5-24-04-2022	8am	constant	2	R5	176
day5-24-04-2022	8am	wave2	1	R1	208
day5-24-04-2022	8am	wave2	1	R2	92
day5-24-04-2022	8am	wave2	1	R3	286
day5-24-04-2022	8am	wave2	1	R4	121
day5-24-04-2022	8am	wave2	1	R5	213
day5-24-04-2022	8am	wave2	2	R1	108
day5-24-04-2022	8am	wave2	2	R2	223
day5-24-04-2022	8am	wave2	2	R3	213
day5-24-04-2022	8am	wave2	2	R4	180
day5-24-04-2022	8am	wave2	2	R5	215
day6-25-04-2022	8am	anc	1	R1	80
day6-25-04-2022	8am	anc	1	R2	43
day6-25-04-2022	8am	anc	1	R3	47
day6-25-04-2022	8am	anc	1	R4	81
day6-25-04-2022	8am	anc	1	R5	105
day6-25-04-2022	8am	anc	2	R1	71
day6-25-04-2022	8am	anc	2	R2	229
day6-25-04-2022	8am	anc	2	R3	135
day6-25-04-2022	8am	anc	2	R4	129
day6-25-04-2022	8am	anc	2	R5	128
day6-25-04-2022	8am	cold	1	R1	90
day6-25-04-2022	8am	cold	1	R2	105
day6-25-04-2022	8am	cold	1	R3	63
day6-25-04-2022	8am	cold	1	R4	174
day6-25-04-2022	8am	cold	1	R5	143
day6-25-04-2022	8am	cold	2	R1	111
day6-25-04-2022	8am	cold	2	R2	119
day6-25-04-2022	8am	cold	2	R3	144
day6-25-04-2022	8am	cold	2	R4	140
day6-25-04-2022	8am	cold	2	R5	208
day6-25-04-2022	8am	constant	1	R1	272
day6-25-04-2022	8am	constant	1	R2	121
day6-25-04-2022	8am	constant	1	R3	65
day6-25-04-2022	8am	constant	1	R4	130
day6-25-04-2022	8am	constant	1	R5	127
day6-25-04-2022	8am	constant	2	R1	198
day6-25-04-2022	8am	constant	2	R2	192
day6-25-04-2022	8am	constant	2	R3	262
day6-25-04-2022	8am	constant	2	R4	104
day6-25-04-2022	8am	constant	2	R5	107
day6-25-04-2022	8am	wave2	1	R1	155
day6-25-04-2022	8am	wave2	1	R2	117
day6-25-04-2022	8am	wave2	1	R3	128
day6-25-04-2022	8am	wave2	1	R4	71
day6-25-04-2022	8am	wave2	1	R5	177
day6-25-04-2022	8am	wave2	2	R1	166
day6-25-04-2022	8am	wave2	2	R2	96
day6-25-04-2022	8am	wave2	2	R3	118
day6-25-04-2022	8am	wave2	2	R4	66
day6-25-04-2022	8am	wave2	2	R5	189
day1-20-04-2022	8pm	anc	1	R1	83
day1-20-04-2022	8pm	anc	1	R2	111
day1-20-04-2022	8pm	anc	1	R3	64
day1-20-04-2022	8pm	anc	1	R4	105
day1-20-04-2022	8pm	anc	1	R5	94
day1-20-04-2022	8pm	anc	2	R1	63
day1-20-04-2022	8pm	anc	2	R2	184
day1-20-04-2022	8pm	anc	2	R3	116
day1-20-04-2022	8pm	anc	2	R4	143
day1-20-04-2022	8pm	anc	2	R5	155
day1-20-04-2022	8pm	cold	1	R1	360
day1-20-04-2022	8pm	cold	1	R2	314
day1-20-04-2022	8pm	cold	1	R3	206
day1-20-04-2022	8pm	cold	1	R4	239
day1-20-04-2022	8pm	cold	1	R5	242
day1-20-04-2022	8pm	cold	2	R1	226
day1-20-04-2022	8pm	cold	2	R2	223
day1-20-04-2022	8pm	cold	2	R3	213
day1-20-04-2022	8pm	cold	2	R4	141
day1-20-04-2022	8pm	cold	2	R5	224
day1-20-04-2022	8pm	constant	1	R1	140
day1-20-04-2022	8pm	constant	1	R2	372
day1-20-04-2022	8pm	constant	1	R3	128
day1-20-04-2022	8pm	constant	1	R4	163
day1-20-04-2022	8pm	constant	1	R5	131
day1-20-04-2022	8pm	constant	2	R1	219
day1-20-04-2022	8pm	constant	2	R2	329
day1-20-04-2022	8pm	constant	2	R3	184
day1-20-04-2022	8pm	constant	2	R4	136
day1-20-04-2022	8pm	constant	2	R5	192
day1-20-04-2022	8pm	wave2	1	R1	253
day1-20-04-2022	8pm	wave2	1	R2	306
day1-20-04-2022	8pm	wave2	1	R3	240
day1-20-04-2022	8pm	wave2	1	R4	305
day1-20-04-2022	8pm	wave2	1	R5	247
day1-20-04-2022	8pm	wave2	2	R1	224
day1-20-04-2022	8pm	wave2	2	R2	328
day1-20-04-2022	8pm	wave2	2	R3	253
day1-20-04-2022	8pm	wave2	2	R4	265
day1-20-04-2022	8pm	wave2	2	R5	167
day2-21-04-2022	8pm	anc	1	R1	82
day2-21-04-2022	8pm	anc	1	R2	204
day2-21-04-2022	8pm	anc	1	R3	81
day2-21-04-2022	8pm	anc	1	R4	73
day2-21-04-2022	8pm	anc	1	R5	116
day2-21-04-2022	8pm	anc	2	R1	71
day2-21-04-2022	8pm	anc	2	R2	161
day2-21-04-2022	8pm	anc	2	R3	141
day2-21-04-2022	8pm	anc	2	R4	144
day2-21-04-2022	8pm	anc	2	R5	193
day2-21-04-2022	8pm	cold	1	R1	218
day2-21-04-2022	8pm	cold	1	R2	240
day2-21-04-2022	8pm	cold	1	R3	167
day2-21-04-2022	8pm	cold	1	R4	94
day2-21-04-2022	8pm	cold	1	R5	144
day2-21-04-2022	8pm	cold	2	R1	175
day2-21-04-2022	8pm	cold	2	R2	131
day2-21-04-2022	8pm	cold	2	R3	157
day2-21-04-2022	8pm	cold	2	R4	162
day2-21-04-2022	8pm	cold	2	R5	139
day2-21-04-2022	8pm	constant	1	R1	76
day2-21-04-2022	8pm	constant	1	R2	306
day2-21-04-2022	8pm	constant	1	R3	139
day2-21-04-2022	8pm	constant	1	R4	200
day2-21-04-2022	8pm	constant	1	R5	139
day2-21-04-2022	8pm	constant	2	R1	111
day2-21-04-2022	8pm	constant	2	R2	131
day2-21-04-2022	8pm	constant	2	R3	102
day2-21-04-2022	8pm	constant	2	R4	156
day2-21-04-2022	8pm	constant	2	R5	101
day2-21-04-2022	8pm	wave2	1	R1	209
day2-21-04-2022	8pm	wave2	1	R2	217
day2-21-04-2022	8pm	wave2	1	R3	108
day2-21-04-2022	8pm	wave2	1	R4	213
day2-21-04-2022	8pm	wave2	1	R5	283
day2-21-04-2022	8pm	wave2	2	R1	189
day2-21-04-2022	8pm	wave2	2	R2	127
day2-21-04-2022	8pm	wave2	2	R3	190
day2-21-04-2022	8pm	wave2	2	R4	139
day2-21-04-2022	8pm	wave2	2	R5	136
day3-22-04-2022	8pm	anc	1	R1	140
day3-22-04-2022	8pm	anc	1	R2	114
day3-22-04-2022	8pm	anc	1	R3	165
day3-22-04-2022	8pm	anc	1	R4	163
day3-22-04-2022	8pm	anc	1	R5	127
day3-22-04-2022	8pm	anc	2	R1	150
day3-22-04-2022	8pm	anc	2	R2	166
day3-22-04-2022	8pm	anc	2	R3	135
day3-22-04-2022	8pm	anc	2	R4	128
day3-22-04-2022	8pm	anc	2	R5	139
day3-22-04-2022	8pm	cold	1	R1	332
day3-22-04-2022	8pm	cold	1	R2	256
day3-22-04-2022	8pm	cold	1	R3	313
day3-22-04-2022	8pm	cold	1	R4	252
day3-22-04-2022	8pm	cold	1	R5	146
day3-22-04-2022	8pm	cold	2	R1	259
day3-22-04-2022	8pm	cold	2	R2	196
day3-22-04-2022	8pm	cold	2	R3	254
day3-22-04-2022	8pm	cold	2	R4	71
day3-22-04-2022	8pm	cold	2	R5	212
day3-22-04-2022	8pm	constant	1	R1	132
day3-22-04-2022	8pm	constant	1	R2	301
day3-22-04-2022	8pm	constant	1	R3	154
day3-22-04-2022	8pm	constant	1	R4	214
day3-22-04-2022	8pm	constant	1	R5	107
day3-22-04-2022	8pm	constant	2	R1	165
day3-22-04-2022	8pm	constant	2	R2	203
day3-22-04-2022	8pm	constant	2	R3	164
day3-22-04-2022	8pm	constant	2	R4	168
day3-22-04-2022	8pm	constant	2	R5	116
day3-22-04-2022	8pm	wave2	1	R1	205
day3-22-04-2022	8pm	wave2	1	R2	206
day3-22-04-2022	8pm	wave2	1	R3	130
day3-22-04-2022	8pm	wave2	1	R4	266
day3-22-04-2022	8pm	wave2	1	R5	238
day3-22-04-2022	8pm	wave2	2	R1	197
day3-22-04-2022	8pm	wave2	2	R2	129
day3-22-04-2022	8pm	wave2	2	R3	189
day3-22-04-2022	8pm	wave2	2	R4	203
day3-22-04-2022	8pm	wave2	2	R5	151
day4-23-04-2022	8pm	anc	1	R1	88
day4-23-04-2022	8pm	anc	1	R2	155
day4-23-04-2022	8pm	anc	1	R3	108
day4-23-04-2022	8pm	anc	1	R4	107
day4-23-04-2022	8pm	anc	1	R5	110
day4-23-04-2022	8pm	anc	2	R1	94
day4-23-04-2022	8pm	anc	2	R2	142
day4-23-04-2022	8pm	anc	2	R3	119
day4-23-04-2022	8pm	anc	2	R4	156
day4-23-04-2022	8pm	anc	2	R5	147
day4-23-04-2022	8pm	cold	1	R1	167
day4-23-04-2022	8pm	cold	1	R2	111
day4-23-04-2022	8pm	cold	1	R3	94
day4-23-04-2022	8pm	cold	1	R4	94
day4-23-04-2022	8pm	cold	1	R5	107
day4-23-04-2022	8pm	cold	2	R1	167
day4-23-04-2022	8pm	cold	2	R2	137
day4-23-04-2022	8pm	cold	2	R3	81
day4-23-04-2022	8pm	cold	2	R4	95
day4-23-04-2022	8pm	cold	2	R5	129
day4-23-04-2022	8pm	constant	1	R1	90
day4-23-04-2022	8pm	constant	1	R2	169
day4-23-04-2022	8pm	constant	1	R3	95
day4-23-04-2022	8pm	constant	1	R4	157
day4-23-04-2022	8pm	constant	1	R5	91
day4-23-04-2022	8pm	constant	2	R1	111
day4-23-04-2022	8pm	constant	2	R2	88
day4-23-04-2022	8pm	constant	2	R3	140
day4-23-04-2022	8pm	constant	2	R4	134
day4-23-04-2022	8pm	constant	2	R5	141
day4-23-04-2022	8pm	wave2	1	R1	209
day4-23-04-2022	8pm	wave2	1	R2	146
day4-23-04-2022	8pm	wave2	1	R3	75
day4-23-04-2022	8pm	wave2	1	R4	209
day4-23-04-2022	8pm	wave2	1	R5	144
day4-23-04-2022	8pm	wave2	2	R1	170
day4-23-04-2022	8pm	wave2	2	R2	120
day4-23-04-2022	8pm	wave2	2	R3	193
day4-23-04-2022	8pm	wave2	2	R4	163
day4-23-04-2022	8pm	wave2	2	R5	125
day5-24-04-2022	8pm	anc	1	R1	68
day5-24-04-2022	8pm	anc	1	R2	82
day5-24-04-2022	8pm	anc	1	R3	65
day5-24-04-2022	8pm	anc	1	R4	65
day5-24-04-2022	8pm	anc	1	R5	77
day5-24-04-2022	8pm	anc	2	R1	97
day5-24-04-2022	8pm	anc	2	R2	83
day5-24-04-2022	8pm	anc	2	R3	102
day5-24-04-2022	8pm	anc	2	R4	88
day5-24-04-2022	8pm	anc	2	R5	115
day5-24-04-2022	8pm	cold	1	R1	178
day5-24-04-2022	8pm	cold	1	R2	95
day5-24-04-2022	8pm	cold	1	R3	92
day5-24-04-2022	8pm	cold	1	R4	88
day5-24-04-2022	8pm	cold	1	R5	122
day5-24-04-2022	8pm	cold	2	R1	137
day5-24-04-2022	8pm	cold	2	R2	111
day5-24-04-2022	8pm	cold	2	R3	47
day5-24-04-2022	8pm	cold	2	R4	53
day5-24-04-2022	8pm	cold	2	R5	94
day5-24-04-2022	8pm	constant	1	R1	49
day5-24-04-2022	8pm	constant	1	R2	124
day5-24-04-2022	8pm	constant	1	R3	83
day5-24-04-2022	8pm	constant	1	R4	107
day5-24-04-2022	8pm	constant	1	R5	77
day5-24-04-2022	8pm	constant	2	R1	58
day5-24-04-2022	8pm	constant	2	R2	73
day5-24-04-2022	8pm	constant	2	R3	45
day5-24-04-2022	8pm	constant	2	R4	117
day5-24-04-2022	8pm	constant	2	R5	92
day5-24-04-2022	8pm	wave2	1	R1	108
day5-24-04-2022	8pm	wave2	1	R2	90
day5-24-04-2022	8pm	wave2	1	R3	92
day5-24-04-2022	8pm	wave2	1	R4	156
day5-24-04-2022	8pm	wave2	1	R5	81
day5-24-04-2022	8pm	wave2	2	R1	108
day5-24-04-2022	8pm	wave2	2	R2	71
day5-24-04-2022	8pm	wave2	2	R3	94
day5-24-04-2022	8pm	wave2	2	R4	146
day5-24-04-2022	8pm	wave2	2	R5	49
