date	time	pop	run	rep	n_egg
day2-01-04-2022	8am	anc	1	R1	109
day2-01-04-2022	8am	anc	1	R2	121
day2-01-04-2022	8am	anc	1	R3	174
day2-01-04-2022	8am	anc	1	R4	182
day2-01-04-2022	8am	anc	1	R5	128
day2-01-04-2022	8am	anc	2	R1	144
day2-01-04-2022	8am	anc	2	R2	62
day2-01-04-2022	8am	anc	2	R3	209
day2-01-04-2022	8am	anc	2	R4	105
day2-01-04-2022	8am	anc	2	R5	190
day2-01-04-2022	8am	cold	1	R1	217
day2-01-04-2022	8am	cold	1	R2	74
day2-01-04-2022	8am	cold	1	R3	254
day2-01-04-2022	8am	cold	1	R4	137
day2-01-04-2022	8am	cold	1	R5	125
day2-01-04-2022	8am	cold	2	R1	295
day2-01-04-2022	8am	cold	2	R2	161
day2-01-04-2022	8am	cold	2	R3	292
day2-01-04-2022	8am	cold	2	R4	134
day2-01-04-2022	8am	cold	2	R5	114
day2-01-04-2022	8am	constant	1	R1	307
day2-01-04-2022	8am	constant	1	R2	160
day2-01-04-2022	8am	constant	1	R3	265
day2-01-04-2022	8am	constant	1	R4	163
day2-01-04-2022	8am	constant	1	R5	145
day2-01-04-2022	8am	constant	2	R1	160
day2-01-04-2022	8am	constant	2	R2	148
day2-01-04-2022	8am	constant	2	R3	244
day2-01-04-2022	8am	constant	2	R4	129
day2-01-04-2022	8am	constant	2	R5	222
day2-01-04-2022	8am	wave1	1	R1	257
day2-01-04-2022	8am	wave1	1	R2	209
day2-01-04-2022	8am	wave1	1	R3	149
day2-01-04-2022	8am	wave1	1	R4	229
day2-01-04-2022	8am	wave1	1	R5	345
day2-01-04-2022	8am	wave1	2	R1	247
day2-01-04-2022	8am	wave1	2	R2	171
day2-01-04-2022	8am	wave1	2	R3	157
day2-01-04-2022	8am	wave1	2	R4	384
day2-01-04-2022	8am	wave1	2	R5	240
day2-01-04-2022	8am	wave2	1	R1	297
day2-01-04-2022	8am	wave2	1	R2	302
day2-01-04-2022	8am	wave2	1	R3	248
day2-01-04-2022	8am	wave2	1	R4	380
day2-01-04-2022	8am	wave2	1	R5	400
day2-01-04-2022	8am	wave2	2	R1	661
day2-01-04-2022	8am	wave2	2	R2	313
day2-01-04-2022	8am	wave2	2	R3	275
day2-01-04-2022	8am	wave2	2	R4	208
day2-01-04-2022	8am	wave2	2	R5	458
day2-01-04-2022	8am	wave3	1	R1	231
day2-01-04-2022	8am	wave3	1	R2	220
